"question_key","reason","source_file"
"livestock-pathology:8003","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-final-mixed.js"
"livestock-pathology:8556","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"livestock-pathology:8557","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"livestock-pathology:8558","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"livestock-pathology:8559","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"livestock-pathology:8560","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"livestock-pathology:8561","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"livestock-pathology:8562","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"livestock-pathology:8563","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8500","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8501","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8502","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8503","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8504","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8505","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8506","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8507","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8508","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8509","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8510","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8511","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8512","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8513","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-osce-med.js"
"poa-clinical:8564","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8565","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8566","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8567","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8568","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8569","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8570","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8571","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8572","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8573","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
"poa-clinical:8574","เฉลยหรือขอบเขตยังรอการตรวจสอบ","src/data/questions-y5-vision-batch.js"
